author,statement,source,date,target,BinaryTarget,BinaryNumTarget
Ciara O'Rourke,"“Austin mass shooter still at large, but media won’t provide description because he’s Black.”",Viral image,"18, June 2021",false,FAKE,0
D.L. Davis,"“Before the pandemic, just over 40,000 were on continuing UI claims. Now, there are well over 100,000 on state or federal UI benefits.”",Mark Born,"18, June 2021",true,REAL,1
Paul Specht,Says North Carolina’s proposed abortion bill would not “govern the conversation between the doctor and patient.”,Dean Arp,"17, June 2021",barely-true,FAKE,0
Tom Kertscher,Says Joe Biden “imports oil from Iran.”,The Gateway Pundit,"17, June 2021",barely-true,FAKE,0
Madison Czopek,“Cuomo opens New York 72 hours before his daughter's wedding.”,Facebook posts,"17, June 2021",false,FAKE,0
Tom Kertscher,Says the Novavax COVID-19 vaccine “dumps millions” of dangerous “spike proteins right into your body.”,Facebook posts,"17, June 2021",false,FAKE,0
Gabrielle Settles,"""Dandelion root is able to kill 98% of cancer cells within 48 hours.""",Instagram posts,"17, June 2021",barely-true,FAKE,0
Tom Kertscher,Says Joe Biden confused his son and his grandson.,TikTok posts,"17, June 2021",false,FAKE,0
Ciara O'Rourke,The FBI building in Washington is “completely closed. No one’s in there.”,Viral image,"17, June 2021",false,FAKE,0
Warren Fiske,"“Over the last few years, more Virginians are moving away from Virginia than are moving to Virginia from the other 49 states.”",Glenn Youngkin,"17, June 2021",mostly-true,FAKE,0
Tom Kertscher,"The COVID-19 vaccines’ “spike protein is very dangerous, it's cytotoxic.”",YouTube videos,"16, June 2021",false,FAKE,0
Samantha Putterman,Says Anthony Fauci will make millions off new book.,Charlie Kirk,"15, June 2021",false,FAKE,0
Andy Nguyen,"Emails show that Fauci knew ""hydroxychloroquine worked [and] emailed friends about it being effective.""",Facebook posts,"15, June 2021",false,FAKE,0
Tom Kertscher,Says a 2010 Rockefeller Foundation report shows the COVID-19 pandemic and the international response were “meticulously planned at least 10 years ago.”,Facebook posts,"15, June 2021",false,FAKE,0
Laura Schulte,"During the pandemic, “I’ve been in D.C. voting regularly.”",Mark Pocan,"15, June 2021",half-true,FAKE,0
Amy Sherman,"Gov. Ron DeSantis “signed a $1 billion tax increase on the people of our state, on our consumers, yet gave a $500 million tax break to our corporations.""",Nikki Fried,"15, June 2021",barely-true,FAKE,0
Warren Fiske,“I inherited the largest budget deficit in the history of the state from the Republicans.”,Terry McAuliffe,"15, June 2021",pants-fire,FAKE,0
Tom Kertscher,"""Study: hydroxychloroquine can boost COVID-19 survival chances by nearly 200%.""",Facebook posts,"14, June 2021",barely-true,FAKE,0
Samantha Putterman,Says professional soccer player Christian Eriksen received the Pfizer vaccine days before he collapsed during a game.,Instagram posts,"14, June 2021",false,FAKE,0
Kiannah Sepeda-Miller,"Illinois Republican lawmakers “have argued that they want an independent [redistricting] commission, but they didn't do anything about it.”",JB Pritzker,"11, June 2021",barely-true,FAKE,0
Brandon Mulder,"Says Austin should be putting more police on the streets. “Why are we going the other way? (Austin leaders are saying) ‘Oh, let’s reimagine police by getting rid of them.' What do you have? You have a doubling of murder in Austin, Texas.”",Chip Roy,"11, June 2021",half-true,FAKE,0
Natalie Dunlap,"""These 2 Ankeny moms standing next to the Governor are known Qanon and anti-vaxx conspiracy theorists.""",Kedron Bardwell,"11, June 2021",mostly-true,FAKE,0
Tom Kertscher,"""Report: Vaccine related deaths may rival recorded COVID-19 deaths.""",Instagram posts,"11, June 2021",false,FAKE,0
Ciara O'Rourke,Says Baptist pastor Charles Stanley is selling CBD.,Bloggers,"10, June 2021",false,FAKE,0
Ciara O'Rourke,Coca-Cola made cans that say “Try to be less white.”,Viral image,"10, June 2021",false,FAKE,0
Ciara O'Rourke,“Jamaica becomes the first country to make K-pop illegal.”,Viral image,"10, June 2021",false,FAKE,0
Paul Specht,"Says North Carolina moved “from among the worst business rankings in the country, to the top 10.”",Paul Newton,"9, June 2021",half-true,FAKE,0
Bill McCarthy,"The COVID-19 vaccines make people ""magnetized. They can put a key on their forehead, it sticks. They can put spoons and forks all over them, and they can stick.""",Sherri Tenpenny,"9, June 2021",false,FAKE,0
Jon Greenberg,The Biden administration “ignores the negative environmental impact created by lithium mining.”,Chuck Grassley,"9, June 2021",false,FAKE,0
Ciara O'Rourke,"Says Marjorie Taylor Greene said, “People are dying who have never died before.”",Facebook posts,"9, June 2021",false,FAKE,0
Nusaiba Mizan,“Right to Work states have: faster private sector employment growth”,Wisconsin Manufacturers and Commerce,"9, June 2021",half-true,FAKE,0
Michael Majchrowicz,Video shows Israel’s Iron Dome missile defense system engaged in military combat.,Facebook posts,"9, June 2021",false,FAKE,0
Amy Sherman,“Republican state senators” who started an audit of 2020 election results in Maricopa County are “exposing this fraud.”,Donald Trump,"9, June 2021",false,FAKE,0
Ciara O'Rourke,Video shows man trying to “fill entire pickup bed with fuel amidst last month’s fuel shortage.”,Bloggers,"9, June 2021",false,FAKE,0
Ciara O'Rourke,"Says Anthony Bourdain tweeted, “This might be the best bat soup I ever had in my life. Someday everyone’s gonna be talking about Wuhan.”",Viral image,"9, June 2021",false,FAKE,0
Miriam Valverde,"""920 women lose their unborn babies after getting vaccinated.""",Instagram posts,"8, June 2021",false,FAKE,0
Andy Nguyen,Says Listerine mouthwash can be effectively used as a mosquito repellant.,Facebook posts,"8, June 2021",barely-true,FAKE,0
Ciara O'Rourke,"“Tim Tebow says he is wearing #85 to honor his former friend/teammate and fellow TE Aaron Hernandez, who passed away in 2017.”",Viral image,"8, June 2021",false,FAKE,0
Ciara O'Rourke,“Biden gets brutal impeachment.”,Facebook posts,"8, June 2021",pants-fire,FAKE,0
Laura Schulte,Says withdrawing troops from Afghanistan could save the U.S. $50 billion.,Mark Pocan,"8, June 2021",barely-true,FAKE,0
Madison Czopek,"""Airlines are meeting today to discuss the risks of carrying vaxed passengers due to the risk of clots and the liabilities involved.”",Instagram posts,"7, June 2021",false,FAKE,0
John Pullano,It’s not currently “legal for a New York state student to have a glass of fresh whole milk.”,Lorraine Lewandrowski,"7, June 2021",true,REAL,1
Ciara O'Rourke,Photo shows “the plane that brings our dead military home. It is made so that when they shoot their salute for their service it looks like an angel carrying them home.”,Viral image,"7, June 2021",false,FAKE,0
Ciara O'Rourke,Says Bruno Mars is Michael Jackson’s son.,Facebook posts,"7, June 2021",false,FAKE,0
Chris Nichols,"""Sadly during the course of the pandemic one-third of our small businesses have closed.""",Kamala Harris,"7, June 2021",mostly-true,FAKE,0
Ciara O'Rourke,“The Eisenhower interstate system requires that one mile in every five must be straight.”,Viral image,"7, June 2021",false,FAKE,0
Ciara O'Rourke,“Donald Trump gave his big speech today with his pants on backward.”,Viral image,"7, June 2021",false,FAKE,0
Landon Allison,The use and possession of marijuana on U.S. college campuses “remains prohibited under federal law”,Clarence McNeill,"7, June 2021",mostly-true,FAKE,0
Tom Kertscher,Viral immunologist says COVID-19 vaccines’ “spike protein” means people are being inoculated “with a toxin.”,Facebook posts,"7, June 2021",false,FAKE,0
Tom Kertscher,Says Donald Trump signed the Insurrection Act and “still is president.”,Facebook posts,"4, June 2021",pants-fire,FAKE,0
Ciara O'Rourke,"Says James Mattis said, “If you burn the American flag you’ll spend two years in the military. I promise you, you’ll be cured of the desire to burn a flag ever again.”",Viral image,"4, June 2021",false,FAKE,0
Madison Czopek,“There is a place in the U.S. where murder is legal.”,TikTok posts,"4, June 2021",false,FAKE,0
Ciara O'Rourke,Video shows the Jan. 6 Capitol riot was a “completely peaceful protest.”,Bloggers,"4, June 2021",pants-fire,FAKE,0
Brandon Mulder,"""Texans have some of the highest property taxes in the nation”",Don Huffines,"4, June 2021",mostly-true,FAKE,0
Jon Greenberg,Says Florida Agriculture Commissioner Nikki Fried “spent millions of dollars to put her face on every gas pump across this state.”,Ron DeSantis,"4, June 2021",barely-true,FAKE,0
Ciara O'Rourke,“Fauci’s emails leaked.”,Facebook posts,"4, June 2021",false,FAKE,0
Ciara O'Rourke,Photo shows R. Kelly being released from prison in 2021.,Viral image,"4, June 2021",false,FAKE,0
Ciara O'Rourke,“In 38 days Pelosi and Schiff are up for reelection. Nadler up June 23.”,Viral image,"4, June 2021",false,FAKE,0
Ciara O'Rourke,Photo shows Tom Hanks after “wife Rita exposed his condition after he was spotted in a bad state. Tom will spend the remainder of his life in and out of hospitals.”,Viral image,"4, June 2021",false,FAKE,0
D.L. Davis,Says U.S. Rep. Ron Kind has “spent more $ in 100+ days than was spent fighting WWII,Derrick Van Orden,"4, June 2021",false,FAKE,0
Andy Nguyen,Says the Pentagon killed a man who invented a water-powered fuel cell for cars.,Facebook posts,"3, June 2021",false,FAKE,0
Warren Fiske,Terry McAuliffe favors “taking the Pledge of Allegiance and the 4th of July out of the (school) curriculum.”,Glenn Youngkin,"3, June 2021",false,FAKE,0
Samantha Putterman,The New York Times published an old stock photo of a young girl and claimed Israeli forces killed her during its recent war with Hamas.,Facebook posts,"3, June 2021",mostly-true,FAKE,0
Michael Majchrowicz,"""The CDC lowered the PCR threshold while no longer recording asymptomatic cases...but only for the vaccinated.""",Tweets,"3, June 2021",false,FAKE,0
Jon Greenberg,"Emails show ""Fauci's fellow scientist could tell early on that the (coronavirus) looked manufactured.""",Facebook posts,"2, June 2021",false,FAKE,0
Louis Jacobson,"""Two members of the Senate,"" Joe Manchin and Kyrsten Sinema, ""voted more with my Republican friends"" than with the president from their own party.",Joe Biden,"2, June 2021",barely-true,FAKE,0
Tom Kertscher,"An email from Dr. Anthony Fauci shows ""everyone was lied to"" about wearing masks to prevent the spread of COVID-19.",Instagram posts,"2, June 2021",false,FAKE,0
Louis Jacobson,"“The filibuster, if it does not get reformed, still means that maybe 30% of the population potentially controls the majority of Senate seats.”",Barack Obama,"2, June 2021",half-true,FAKE,0
Ciara O'Rourke,“U.S. military arrests Dr. Deborah Birx.”,Viral image,"2, June 2021",false,FAKE,0
Madeline Heim,"“Since 1978, CEO compensation rose over 1,000% and only 11.9% for average workers.”",Mandela Barnes,"2, June 2021",true,REAL,1
Monique Curet,“So the unvaxxed have to wear mask (sic) to protect the vaxxinated.”,Facebook posts,"2, June 2021",false,FAKE,0
Samantha Putterman,“Not one word” from Joe Biden and Kamala Harris honoring service members for Memorial Day.,Facebook posts,"1, June 2021",false,FAKE,0
Tom Kertscher,"""Absent from the news — Dominion lost their lawsuits against Rudy Giuliani and Sidney Powell.""",Facebook posts,"1, June 2021",false,FAKE,0
Emily Tian,"""You will be 'vaccinated' regardless of whether you receive the shot or not.”",Viral image,"1, June 2021",false,FAKE,0
Jon Greenberg,"Says ATF chief nominee David Chipman was part of the 1993 assault on the Branch Davidian compound in Waco, Texas.",Viral image,"1, June 2021",false,FAKE,0
Jill Terreri,"""The one good thing about the antibodies if you’ve had it, is it actually is even better than the vaccine, and here's why. With the vaccine you can still transmit, with the antibodies you can't transmit.”",Andrew Giuliani,"May • 31,",false,FAKE,0
Paul Specht,"Says North Carolina bill ""would allow politically active 501(c)(4) organizations to hide major donors while using their money to support or oppose candidates and political issues.”",Natasha Marcus,"31, May 2021",barely-true,FAKE,0
Samantha Putterman,COVID-19 vaccines are creating the coronavirus variants.,Facebook posts,"28, May 2021",false,FAKE,0
Bill McCarthy,"""The Lancet peer-reviewed study confirms vaccine efficacy, not as 95% stated by the vaccine companies, but as: AstraZeneca 1.3%; Moderna 1.2%; J&J 1.2%; Pfizer 0.84%.""",Instagram posts,"28, May 2021",barely-true,FAKE,0
Gabrielle Settles,Says a photo shows Michelle Obama as a man prior to marrying Barack Obama.,Instagram posts,"28, May 2021",pants-fire,FAKE,0
Tom Kertscher,“The Biden administration has decided to cancel $0 in student debt.”,Facebook posts,"28, May 2021",barely-true,FAKE,0
Madison Czopek,Congress created “a generous mortgage relief program” for veterans.,Facebook posts,"28, May 2021",barely-true,FAKE,0
Ciara O'Rourke,"Says Luc Montagnier said, “There is no hope and no possible treatment for those who have been vaccinated already. We must be prepared to incinerate the bodies.”",Viral image,"28, May 2021",false,FAKE,0
Tom Kertscher,Says Donald Trump was back on Twitter as of May 2021.,Viral image,"28, May 2021",false,FAKE,0
Louis Jacobson,"“Now, 50% of all of America, more than any other country, is fully vaccinated.”",Joe Biden,"28, May 2021",barely-true,FAKE,0
Miriam Valverde,"Police defunding is to blame for “skyrocketing murder rates” in Philadelphia, Minneapolis, Portland, New York City, Chicago, Los Angeles and Washington, D.C.",Facebook posts,"28, May 2021",barely-true,FAKE,0
Ciara O'Rourke,You can’t donate plasma after getting a COVID-19 vaccine.,Instagram posts,"28, May 2021",false,FAKE,0
Andy Nguyen,"People with the COVID-19 vaccine are being ""tracked in real time via 5G cellular, and all that data can be hacked into to track you.""",Hal Turner Radio Show,"28, May 2021",pants-fire,FAKE,0
Michael Majchrowicz,"Says BLM activist Sasha Johnson tweeted, “The white man will not be our equal but our slave.”",Facebook posts,"28, May 2021",pants-fire,FAKE,0
Laura Schulte,The Biden administration’s American Jobs Plan will be “the biggest non-defense investment in research and development in the history of our country.”,Kamala Harris,"28, May 2021",mostly-true,FAKE,0
Noah Y.,An image shows the Blue Angels performing a maneuver called the “Hand of God.”,Facebook posts,"May • 27,",false,FAKE,0
Amy Sherman,"""21% of 140,000 ballots were found to be in error in GA.”",Facebook posts,"27, May 2021",barely-true,FAKE,0
Ciara O'Rourke,The CDC in mid-May quietly changed its international travel recommendations to require fully vaccinated people to test negative for COVID-19 before flying to the United States.,Viral image,"27, May 2021",false,FAKE,0
Tom Kertscher,"Lumber, gas, wheat, coal and corn cost more in April 2021 ""in Joe Biden's America"" than they did a year earlier.",Facebook posts,"27, May 2021",half-true,FAKE,0
Warren Fiske,“The very first Republican convention after the Civil War was held in Virginia in a Black church.”,Winsome Sears,"27, May 2021",false,FAKE,0
Jon Greenberg,"“New Haven, Conn., had to issue bonds for a bridge after using funds for that bridge to pay for a police misconduct settlement.""",Tim Kaine,"27, May 2021",true,REAL,1
Amy Sherman,“Boom! Georgia 1st to decertify election.”,Facebook posts,"27, May 2021",pants-fire,FAKE,0
Tom Kertscher,Says a photo shows a “lithium mine for hybrid cars.”,Facebook posts,"26, May 2021",false,FAKE,0
Ciara O'Rourke,“Lego unveils new genderless bricks with no male/female connectors.”,Viral image,"26, May 2021",false,FAKE,0
Miriam Valverde,“Biden agrees to Pelosi's request to resign.”,Facebook posts,"26, May 2021",pants-fire,FAKE,0
Gabrielle Settles,“943 innocent kids … are now injured or dead” because of the COVID-19 vaccine.,Instagram posts,"26, May 2021",false,FAKE,0
Ciara O'Rourke,The mother of a missing boy in Nebraska confessed to killing him.,Viral image,"26, May 2021",false,FAKE,0
Louis Jacobson,“Gas prices highest in a decade. Worst jobs report in 2 decades. Highest inflation in 3 decades. Highest increase in illegal immigration in 4 decades.”,Facebook posts,"26, May 2021",barely-true,FAKE,0
Sasha Hupka,“Businesses cannot legally ask for proof of vaccination and cannot deny entry based on vaccination status.”,Instagram posts,"26, May 2021",false,FAKE,0
Ciara O'Rourke,Getting the COVID-19 vaccine jeopardizes life insurance policies.,Viral image,"26, May 2021",false,FAKE,0
Clara Hendrickson,A Republican bill in Michigan “would make it a crime for election officials … to share information about how to vote by mail and where to find a ballot drop box.”,Jocelyn Benson,"26, May 2021",half-true,FAKE,0
Ciara O'Rourke,The CDC lifting mask guidelines “out of the blue with no solid explanation proves they lied to you the whole time about everything.”,Viral image,"25, May 2021",false,FAKE,0
Bill McCarthy,Arizona ballots were shredded and burned in a chicken farm fire.,Instagram posts,"25, May 2021",pants-fire,FAKE,0
Ciara O'Rourke,Says Anthony Fauci’s wife has “a secret plan to put psych drugs in drinking water” to get people vaccinated.,Instagram posts,"25, May 2021",pants-fire,FAKE,0
Brandon Mulder,"“Since removing the mask mandate two months ago, Texas has not reported a single COVID death. Not one.""",Lauren Boebert,"25, May 2021",pants-fire,FAKE,0
Ciara O'Rourke,Video shows “Israel’s defense system.”,Viral image,"25, May 2021",false,FAKE,0
Madeline Heim,"Wisconsin’s 2019-21 budget produced the first positive general fund balance since 2000, and the governor’s proposed 2021-23 budget would return it to a deficit.",Wisconsin Republican Legislative leaders,"25, May 2021",true,REAL,1
Bill McCarthy,A video shows “Dems caught not wearing masks” at the White House.,Instagram posts,"24, May 2021",half-true,FAKE,0
Jon Greenberg,"“The federal government spent over $500k trying to force fish to exercise on treadmills, an additional $150k to see if gingerbread houses are earthquake proof.”",Josh Mandel,"24, May 2021",barely-true,FAKE,0
Ciara O'Rourke,An Ohio doctor died from a COVID-19 vaccine.,Facebook posts,"24, May 2021",false,FAKE,0
Ciara O'Rourke,"Says Chelsea Clinton tweeted, “The more I hear about Bill Gates behavior the more ashamed for him I feel. What kind of man pursues a physical relationship with an underling and has relations with her in their office???”",Viral image,"24, May 2021",pants-fire,FAKE,0
Kiannah Sepeda-Miller,Opposition to having a fully elected Chicago Board of Education is in the “super minority.”,Robert Martwick,"23, May 2021",true,REAL,1
Bill McCarthy,The AstraZeneca COVID-19 vaccine contains a Bluetooth microchip.,TikTok posts,"21, May 2021",false,FAKE,0
Madison Czopek,An electromagnetic radiation detector can detect radiation from someone’s COVID-19 vaccination.,Facebook posts,"21, May 2021",false,FAKE,0
Ciara O'Rourke,Businesses aren't allowed to ask customers if they’ve been vaccinated because “there are HIPPA laws.”,Viral image,"21, May 2021",false,FAKE,0
Ciara O'Rourke,Says Dr. Anthony Fauci’s wife is the NIH official “who rubber stamps exceptions to normal drug and vaccine testing.”,Viral image,"21, May 2021",false,FAKE,0
Tom Kertscher,“COVID cases in India plummet after government promotes ivermectin and hydroxychloroquine use.”,The Gateway Pundit,"21, May 2021",barely-true,FAKE,0
Brandon Mulder,“We now have more job openings than we do people who are on unemployment. We have 60% more job openings today than we did the month before the pandemic hit the state of Texas.”,Greg Abbott,"21, May 2021",true,REAL,1
Andy Nguyen,"The Moderna vaccine contains an ingredient that is “for research use only, not meant for human or veterinary use.”",Instagram posts,"21, May 2021",false,FAKE,0
Haley BeMiller,"""Since 2010, student debt has increased by 102% and real wages have fallen by over 8%.”",Tom Nelson,"21, May 2021",half-true,FAKE,0
Gabrielle Settles,Photos show Joe Biden didn’t drive himself during an electric vehicle test drive.,Facebook posts,"20, May 2021",pants-fire,FAKE,0
Ciara O'Rourke,“Black Lives Matter says it stands with Hamas terrorists in Israeli conflict.”,Viral image,"20, May 2021",false,FAKE,0
Bill McCarthy,"The Biden White House has ""no one there. They don't travel. They don't go down to the border. They don't go overseas.""",Eric Trump,"20, May 2021",pants-fire,FAKE,0
Ciara O'Rourke,Photo shows a “Palestinian boy cleaning his own family’s blood.”,Viral image,"20, May 2021",false,FAKE,0
Ciara O'Rourke,“The minions from ‘Despicable Me’ are based off of these Jewish children tortured by Nazis during the Holocaust.”,Viral image,"20, May 2021",pants-fire,FAKE,0
Monique Curet,“CDC director finally admits that COVID cases were overcounted in hospitals”,The Gateway Pundit,"20, May 2021",false,FAKE,0
Michael Majchrowicz,Says the CDC’s new tracking policy is covering up cases of “breakthrough” COVID-19 infections among vaccinated people.,Facebook posts,"20, May 2021",false,FAKE,0
Steven Rascón,"Wearing face masks may cause ""pulmonary fibrosis"" and other health risks in children.",Facebook posts,"19, May 2021",pants-fire,FAKE,0
Warren Fiske,On the legitimacy of President Joe Biden's election.,Glenn Youngkin,"19, May 2021",half-flip,FAKE,0
Ciara O'Rourke,“Biden is computer generated.”,Facebook posts,"19, May 2021",pants-fire,FAKE,0
Ciara O'Rourke,Poll shows that men are more likely to do chores than women in U.S. households.,Viral image,"19, May 2021",false,FAKE,0
Ciara O'Rourke,“Pope Francis kissing the hands of David Rockefeller & John Rothschild.”,Viral image,"19, May 2021",false,FAKE,0
Ciara O'Rourke,Photos show a photojournalist crying while capturing pictures of the Aqsa Mosque in Jerusalem.,Viral image,"19, May 2021",false,FAKE,0
Tom Kertscher,"""The entire Database of Maricopa County in Arizona has been DELETED!""",Donald Trump,"19, May 2021",false,FAKE,0
Louis Jacobson,"""There is no law that deals specifically with the term ‘partial-birth abortion.’”",Xavier Becerra,"19, May 2021",false,FAKE,0
Samantha Putterman,Says Don Lemon’s show has been canceled and he is leaving CNN.,YouTube videos,"19, May 2021",false,FAKE,0
Ciara O'Rourke,University of Miami researchers have found that the COVID-19 vaccine affects sperm production.,Viral image,"19, May 2021",false,FAKE,0
Samantha Putterman,“Video shows U.S. Capitol Police gave protesters OK to enter.”,Facebook posts,"18, May 2021",pants-fire,FAKE,0
Ciara O'Rourke,Photo shows an anti-Israel activist holding a photo of Adolf Hitler.,Viral image,"18, May 2021",false,FAKE,0
Ciara O'Rourke,Photo shows Kamala Harris pretending to board an official plane.,Viral image,"18, May 2021",pants-fire,FAKE,0
Bill McCarthy,"""COVID-19 Jab: They skipped all animal trials because all animals were dying and went directly to people.""",Instagram posts,"18, May 2021",false,FAKE,0
Ciara O'Rourke,Video shows Palestinians faking a funeral procession for a child.,Viral image,"18, May 2021",false,FAKE,0
Ciara O'Rourke,Photo shows Joe Biden groping Jen Psaki.,Viral image,"18, May 2021",pants-fire,FAKE,0
Cassidey Kavathas,"“New York's 1,200+ homeless veterans are ineligible for these $15,600 payments.”",Tom Cotton,"18, May 2021",barely-true,FAKE,0
Tom Kertscher,"“About 40% to 50% of CDC, FDA employees are refusing the COVID-19 vaccine, according to” Anthony Fauci and FDA’s Peter Marks.",Facebook posts,"18, May 2021",false,FAKE,0
Haley BeMiller,“Republicans on the Joint Finance Committee removed more than $8 billion in spending increases from Gov. Evers' budget proposal.”,Wisconsin Assembly GOP,"18, May 2021",mostly-true,FAKE,0
Ciara O'Rourke,Merriam-Webster recently changed its definition of “anti-vaxxer” to include people who oppose laws that mandate vaccination.,Viral image,"17, May 2021",false,FAKE,0
Andy Nguyen,"""When you can't find gas, remember who executively ordered the Keystone Pipeline to close.""",Facebook posts,"17, May 2021",false,FAKE,0
Tom Kertscher,Says photos show a “boneyard” of electric cars abandoned in France because the cars’ batteries were too expensive to replace.,Facebook posts,"17, May 2021",false,FAKE,0
Madison Czopek,Transmission of COVID-19 by asymptomatic individuals “has never been proven.”,Instagram posts,"17, May 2021",false,FAKE,0
Ciara O'Rourke,Magnet video proves COVID-19 vaccines contain microchips.,Viral image,"17, May 2021",false,FAKE,0
